total_return_pct,annual_return,max_drawdown_pct,sharpe_ratio,win_rate,total_trades,final_assets,start_date,end_date,strategy,dataset,symbol
3.6049138398775114,0.5073536332413697,-5.051394326415477,-0.880222368802958,34.34343434343434,99,103604.91383987752,2015-01-01,2021-12-31,MA Cross,train,510300.SH
6.607865069705279,0.9185628406493728,-4.504007586219212,-0.626268515130671,32.53012048192771,83,106607.86506970528,2015-01-01,2021-12-31,MA Double,train,510300.SH
2.11262045962151,0.2991934755686376,-3.20677205287253,-1.1016898270308737,33.33333333333333,51,102112.62045962152,2015-01-01,2021-12-31,MA Triple,train,510300.SH
5.358998599978134,0.748770582081959,-4.434665964303457,-0.7430018152077158,37.5,104,105358.99859997812,2015-01-01,2021-12-31,MACD Cross,train,510300.SH
5.358998599978134,0.748770582081959,-4.434665964303457,-0.7430018152077158,37.5,104,105358.99859997812,2015-01-01,2021-12-31,MACD Hist,train,510300.SH
7.728067553590809,1.069418053838822,-2.2213512678398564,-0.73357570223213,48.64864864864865,37,107728.0675535908,2015-01-01,2021-12-31,RSI Extreme,train,510300.SH
4.558709233677335,0.6390564371027363,-2.1929195412279454,-1.137349097348692,51.02040816326531,49,104558.70923367732,2015-01-01,2021-12-31,MA+RSI Combo,train,510300.SH
-1.812549407752478,-0.2610464008180324,-3.6863443210981295,-1.8455812981971065,26.666666666666668,30,98187.45059224752,2015-01-01,2021-12-31,Bollinger Band,train,510300.SH
0.0,0.0,0.0,-4.646870357913261e+16,0.0,0,100000.0,2015-01-01,2021-12-31,Bollinger Squeeze,train,510300.SH
7.011166191025696,0.9730303609631452,-4.133369929757553,-0.7116093736852113,42.62295081967213,61,107011.1661910257,2015-01-01,2021-12-31,Volume Confirm,train,510300.SH
8.589991732144554,1.1845789471936818,-2.429145428560852,-0.6739127030258069,45.94594594594595,37,108589.99173214455,2015-01-01,2021-12-31,TA Confluence,train,510300.SH
0.5288214900749444,0.075397395425325,-0.9634835640044164,-3.3551847825070054,50.0,22,100528.82149007494,2015-01-01,2021-12-31,TA Strengthened,train,510300.SH
-3.2905259951134065,-1.0515970644899508,-4.535732135133251,-1.9617634728101636,23.25581395348837,43,96709.4740048866,2022-01-03,2025-03-04,MA Cross,test,510300.SH
-1.6114165543440178,-0.5119752453787818,-3.5859793467480485,-1.7349067594985406,20.833333333333336,24,98388.58344565598,2022-01-03,2025-03-04,MA Double,test,510300.SH
-0.9584536855456972,-0.303831319429293,-1.761049247241803,-2.3786090244136435,23.07692307692308,13,99041.5463144543,2022-01-03,2025-03-04,MA Triple,test,510300.SH
-1.977740665714853,-0.629161814953072,-3.600064171696721,-1.517032051992686,24.390243902439025,41,98022.25933428516,2022-01-03,2025-03-04,MACD Cross,test,510300.SH
-1.977740665714853,-0.629161814953072,-3.600064171696721,-1.517032051992686,24.390243902439025,41,98022.25933428516,2022-01-03,2025-03-04,MACD Hist,test,510300.SH
-2.0372436554910527,-0.6482250065024231,-3.3308407923838823,-1.518633457991589,27.58620689655172,29,97962.75634450896,2022-01-03,2025-03-04,RSI Extreme,test,510300.SH
-0.6099146130490263,-0.1931121258504031,-2.421403501345744,-1.764869574260708,41.66666666666667,24,99390.08538695096,2022-01-03,2025-03-04,MA+RSI Combo,test,510300.SH
0.4837520622222509,0.1525941978194112,-2.5331166219441448,-1.6884705831082063,38.88888888888889,18,100483.75206222224,2022-01-03,2025-03-04,Bollinger Band,test,510300.SH
0.0,0.0,0.0,0.0,0.0,0,100000.0,2022-01-03,2025-03-04,Bollinger Squeeze,test,510300.SH
-1.452287009191903,-0.4611629018010155,-2.557618799834331,-1.7174501533331763,20.0,25,98547.7129908081,2022-01-03,2025-03-04,Volume Confirm,test,510300.SH
-2.130113335803544,-0.6779938417430631,-2.520748881246873,-1.93335266132774,20.0,15,97869.88666419646,2022-01-03,2025-03-04,TA Confluence,test,510300.SH
-0.1508859975375817,-0.0476985946030072,-0.8187958134944492,-5.348657139177753,33.33333333333333,6,99849.11400246242,2022-01-03,2025-03-04,TA Strengthened,test,510300.SH
