strategy,avg_return_pct,avg_maxdd_pct,avg_sharpe,sample_count
MA Cross,3.6049138398775114,-5.051394326415477,-0.880222368802958,1
MA Double,6.607865069705279,-4.504007586219212,-0.626268515130671,1
MA Triple,2.11262045962151,-3.20677205287253,-1.1016898270308737,1
MACD Cross,5.358998599978134,-4.434665964303457,-0.7430018152077158,1
MACD Hist,5.358998599978134,-4.434665964303457,-0.7430018152077158,1
RSI Extreme,7.728067553590809,-2.2213512678398564,-0.73357570223213,1
MA+RSI Combo,4.558709233677335,-2.1929195412279454,-1.137349097348692,1
Bollinger Band,-1.812549407752478,-3.6863443210981295,-1.8455812981971065,1
Bollinger Squeeze,0.0,0.0,-4.646870357913261e+16,1
Volume Confirm,7.011166191025696,-4.133369929757553,-0.7116093736852113,1
TA Confluence,8.589991732144554,-2.429145428560852,-0.6739127030258069,1
TA Strengthened,0.5288214900749444,-0.9634835640044164,-3.3551847825070054,1
